Timestamp,URL,Verdict,RiskScore
2026-02-10 07:30:44,facebool.com,PHISHING (TYPOSQUATTING),High
2026-02-10 07:30:54,faceb0ol.com,PHISHING (TYPOSQUATTING),High
2026-02-10 07:31:07,test.com,SAFE,Low
2026-02-10 07:40:09.940192,faceb00k.com,PHISHING (Visual Check)
2026-02-10 07:40:16.848812,test.com,SAFE
2026-02-10 07:40:32.665040,http://192.168.123.1:4444,PHISHING (ML Model)
2026-02-10 07:41:02.936633,g00gle.com,PHISHING (Visual Check)
2026-02-10 07:41:12.190797,google.com,SAFE
2026-02-10 07:41:49.578235,faceboo.com,PHISHING (Visual Check)
2026-02-17 00:59:25.073924,faceb00k.com,PHISHING (Visual Check)
2026-04-06 05:52:53.509794,google.com,SAFE
2026-04-06 05:53:02.826262,facebook.com,SAFE
2026-04-06 05:53:06.751886,faceboo0k.com,PHISHING (Visual Check)
2026-04-06 05:54:39.664634,https://btttelecommunniccatiion.weeblysite.com/,SAFE
2026-04-09 05:40:05.534320,https://gooogle.com,PHISHING (Visual Check),0.3013,58
2026-04-09 05:46:23.706751,https://gooogle.com,PHISHING (Visual Check),0.3013,58
2026-04-09 05:48:44.840758,https://gooogle.com,PHISHING (Visual Check),0.3013,58
2026-04-09 05:53:36.173100,https://faacebook.com,PHISHING (Visual Check),0.3727,61
2026-04-09 05:56:12.133416,https://google.com,SAFE,0.1994,8
2026-04-09 05:56:43.567179,https://faceebook.com,PHISHING (Visual Check),0.3689,61
2026-04-09 05:57:56.992355,https://facebook.com,SAFE,0.3299,14
2026-04-09 05:58:38.820345,https://faceebook.com,PHISHING (Visual Check),0.3689,96
2026-04-09 05:59:24.082406,https://faceeboOk.com,PHISHING (Visual Check),0.3689,96
2026-04-09 06:07:14.487944,https://faceeboOk.com,PHISHING (Visual Check),0.3689,96
2026-04-09 06:14:02.221021,https://100.25.1.9,SAFE,0.8505,38
2026-04-09 06:14:19.120020,http://100.25.1.9,SAFE,0.8658,38
2026-04-09 06:16:42.875193,https://101.132.78.77,SAFE,0.8754,39
2026-04-09 06:19:05.532480,https://100.42.65.230,PHISHING (ML Model),0.8741,39
2026-04-09 06:20:05.441630,https://101.173.169.186,PHISHING (ML Model),0.8391,37
2026-04-09 06:25:36.804610,https://100.42.65.230,PHISHING (Reputation Intel),0.8741,74
2026-04-09 07:04:34.218374,https://101.132.78.77,PHISHING (Reputation Intel),0.8754,74
2026-05-20 01:23:43.850385,https://test.com,SAFE,0.1625,7
